faculdade,estado,link
UNEB,BA,https://twitter.com/OrbitsBrasil/status/1565769322139684865/photo/1
UFRJ,RJ,https://twitter.com/OrbitsBrasil/status/1565769322139684865/photo/2
UFRN,RN,https://twitter.com/OrbitsBrasil/status/1565769322139684865/photo/3
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1565769322139684865/photo/4
USP,SP,https://twitter.com/OrbitsBrasil/status/1565798484703420416/photo/1
UNIPE,PB,https://twitter.com/OrbitsBrasil/status/1565798484703420416/photo/2
UFPEl,PE,https://twitter.com/OrbitsBrasil/status/1565798484703420416/photo/3
UNICuritiba,PR,https://twitter.com/OrbitsBrasil/status/1565798484703420416/photo/4
UFC,CE,https://twitter.com/OrbitsBrasil/status/1565802452972101638/photo/1
IFES,ES,https://twitter.com/OrbitsBrasil/status/1565802452972101638/photo/2
UNIFACS,BA,https://twitter.com/OrbitsBrasil/status/1565802452972101638/photo/3
UFC,CE,https://twitter.com/OrbitsBrasil/status/1565802452972101638/photo/4
UFRR,RR,https://twitter.com/OrbitsBrasil/status/1565863018168303619/photo/1
UFRR,RR,https://twitter.com/OrbitsBrasil/status/1565863018168303619/photo/2
UFG,GO,https://twitter.com/OrbitsBrasil/status/1565863018168303619/photo/3
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1565863018168303619/photo/4
UFJF,MG,https://twitter.com/OrbitsBrasil/status/1565868880836366336/photo/1
UFJF,MG,https://twitter.com/OrbitsBrasil/status/1565868880836366336/photo/2
UNICAMP,SP,https://twitter.com/OrbitsBrasil/status/1565868880836366336/photo/3
UNICAMP,SP,https://twitter.com/OrbitsBrasil/status/1565868880836366336/photo/4
IFPB,PB,https://twitter.com/OrbitsBrasil/status/1566086040821047298/photo/1
IFRN,RN,https://twitter.com/OrbitsBrasil/status/1566086040821047298/photo/2
UFAL,AL,https://twitter.com/OrbitsBrasil/status/1566086040821047298/photo/3
UFAL,AL,https://twitter.com/OrbitsBrasil/status/1566086040821047298/photo/4
Mackenzie Higienópolis,SP,https://twitter.com/OrbitsBrasil/status/1567314493859930113/photo/1
UNIFESP,SP,https://twitter.com/OrbitsBrasil/status/1567314493859930113/photo/2
UFRR,RR,https://twitter.com/OrbitsBrasil/status/1567314493859930113/photo/3
UNA,MG,https://twitter.com/OrbitsBrasil/status/1567314493859930113/photo/4
UTFPR,PR,https://twitter.com/OrbitsBrasil/status/1567315628721164288/photo/1
UEM,PR,https://twitter.com/OrbitsBrasil/status/1567315628721164288/photo/2
UFF,RJ,https://twitter.com/OrbitsBrasil/status/1567315628721164288/photo/3
